date,text
Tue Apr 28 00:01:39 +0000 2020,"RT @jvbessa: Quando voce ve pessoas com 46  48 anos de idade dizendo que custou uma pandemia para ""descobrir que sabe cozinhar  lavar e pas..."
Tue Apr 28 00:01:40 +0000 2020,RT @falsinana: jovens furam quarentena e fazem barulho na porta de hospital https://t.co/xhgaoVcJjZ
Tue Apr 28 00:01:40 +0000 2020,A quarentena esta afetando meu pai  KKKKKKKKKKK
Tue Apr 28 00:01:40 +0000 2020,RT @chandy_teixeira: Por que sera  ne  amigao?
Tue Apr 28 00:01:40 +0000 2020,mano  os patroes da minha mae fizeram ela ir trabalhar hoje e querem que ela va na sexta tambem  MEU  E QUARENTENA ... https://t.co/Nf6Tn4YrfY
Tue Apr 28 00:01:41 +0000 2020,RT @t3ddyyyyy: eu poderia estar fazendo algo mais produtivo nessa quarentena mas deixa pra proxima q tiver
Tue Apr 28 00:01:41 +0000 2020,RT @JornalOGlobo: Novo secretario-executivo da Saude diz que isolamento nao deu resultado em alguns lugares  sem citar exemplos https://t.c...
Tue Apr 28 00:01:41 +0000 2020,RT @Limaa_Taii: E essa quarentena que nao acaba eu quero praia  marquinha  banho de mar
Tue Apr 28 00:01:41 +0000 2020,@giucaarvalho @duddah0 @magabnai nossa giullia mkkkkkKKKK e a quarentena... eu tenho a desculpa de ser canceriana voces ja nao [?]
Tue Apr 28 00:01:41 +0000 2020,mano tem pessoas achando que quarentena e ferias pra ficar indo na casa um do outro pra fazer festa GENTE ACORDA SE... https://t.co/794PGbtqxP
Tue Apr 28 00:01:41 +0000 2020,RT @alex_cpinheiro: Quarentena ta a destruir o pouco cerebro que tinha!
Tue Apr 28 00:01:41 +0000 2020,Carentena ta foda amigos https://t.co/gj4mscLj66
Tue Apr 28 00:01:41 +0000 2020,RT @falsinana: jovens furam quarentena e fazem barulho na porta de hospital
Tue Apr 28 00:01:42 +0000 2020,RT @HitsPerdidos: Agora e Oficial!  Bandcamp (@Bandcamp) anuncia nao so uma como 3 DATAS sem taxas para ajudar os artistas durante a quaren...
Tue Apr 28 00:01:42 +0000 2020,RT @iloveanimaisof: Eu o tempo inteiro nessa quarentena  https://t.co/SENJ4uDSYb
Tue Apr 28 00:01:42 +0000 2020,Eu nao sei voces mas eu to louca p esse quarentena acabar p voltar p minha rotina de faculdade e comecar a trabalha... https://t.co/6d2wZ6Ucqp
Tue Apr 28 00:01:42 +0000 2020,Faca sua quarentena mais produtiva! https://t.co/xDOc3CDNqP Elite e a melhor opcao!
Tue Apr 28 00:01:42 +0000 2020,pos quarentena eu quero amigos que gostam de trilha pra ir na funicular de paranapiacaba eu to CHOCADA com a beleza daquele lugar
Tue Apr 28 00:01:42 +0000 2020,afffff que gracinha
Tue Apr 28 00:01:42 +0000 2020,quarentena acabe p q eu possa pintar meu cabelo  colocar meu pirci e fzr minhas tattoos em paz 
Tue Apr 28 00:01:42 +0000 2020,RT @kichobin: o primeiro role pos quarentena tem a obrigacao de ser assim  https://t.co/EfkmAsK0mc
Tue Apr 28 00:01:42 +0000 2020,RT @akamaitxt: quarentena dia ???:  fiz um compilado do tanto de atividades familiares que meus sims fizeram na festa de inauguracao da cas...
Tue Apr 28 00:01:42 +0000 2020,RT @GFiuza_Oficial: E Mandetta exonerou a vergonha na cara ao sair abracando seus puxa-sacos sem mascara em ambiente fechado e aglomerado d...
Tue Apr 28 00:01:42 +0000 2020,@l03n27 Muita verdade! Ainda mais na quarentena que essa criancada fica mais em casa
Tue Apr 28 00:01:43 +0000 2020,RT @Poder360: Teich diz que nao havera medida intempestiva contra isolamento social (@TeichNelson)  https://t.co/W6gxhF8SWB
Tue Apr 28 00:01:43 +0000 2020,RT @djoss35wenny: Inicio da quarentena / 2 meses depois
Tue Apr 28 00:01:43 +0000 2020,testando look p sapekos pos quarentena boa noite
Tue Apr 28 00:01:43 +0000 2020,amigos  pos quarentena meu proximo bbb vamo juntar todo mundo em
Tue Apr 28 00:01:43 +0000 2020,Nao vejo a hora da quarentena acabar para lancar novas tatuagens
Tue Apr 28 00:01:44 +0000 2020,meu forte ja nao era paciencia  nessa quarentena entao..... bateu um vento em mim eu ja to mandando tomar no cu
Tue Apr 28 00:01:44 +0000 2020,RT @AnnaMellPaula1: Sobre a quarentena kkk tomara q nao flope aqui kkk [?] https://t.co/0hclIAVsd0
Tue Apr 28 00:01:44 +0000 2020,RT @rairaleme_: to me surpreendendo com as pessoas nessa quarentena.. algumas pra melhor  com outras pra piorr
Tue Apr 28 00:01:44 +0000 2020,RT @pongocomics: Perdendo a sanidade ja nessa quarentena. Abracar pessoas deve ser tao bom
Tue Apr 28 00:01:45 +0000 2020,o problema q eu queria ter
Tue Apr 28 00:01:45 +0000 2020,Tirei 100% irritado! https://t.co/LpgZKkY0mQ pqp
Tue Apr 28 00:01:45 +0000 2020,por favor Deus  me da essa vontade de querer viver uma vida saudavel na quarentena de novo por favor  nao quero ser inutil
Tue Apr 28 00:01:45 +0000 2020,Tai  musica pra ouvir junto com o love - mesmo a distancia  em quarentena:  https://t.co/8sO7cdUuBw
Tue Apr 28 00:01:45 +0000 2020,RT @falsinana: jovens furam quarentena e fazem barulho na porta de hospital
Tue Apr 28 00:01:45 +0000 2020,RT @djoss35wenny: Inicio da quarentena / 2 meses depois
Tue Apr 28 00:01:46 +0000 2020,RT @dri_dka: mano  os patroes da minha mae fizeram ela ir trabalhar hoje e querem que ela va na sexta tambem  MEU  E QUARENTENA  DEIXA A PO...
Tue Apr 28 00:01:46 +0000 2020,@s_cigs O que a quarentena faz as pessoas [?]
Tue Apr 28 00:01:46 +0000 2020,Eu desisti foda-se se eu reprovar  o bagulho e sair vivo dessa quarentena.
Tue Apr 28 00:01:46 +0000 2020,RT @Vitaall_: cara voces assistem televisao? chegaram  CONTEINERES NO EVANDRO FREIRE PRA CONGELAR CORPOS!!!!!! Levem as coisas mais a serio...
Tue Apr 28 00:01:46 +0000 2020,@anticacocardass Agradeco a todos vcs  mesmo eu sendo superior  considero todo mundo e quem sabe um dia vcs possam... https://t.co/PXZhHXqIqC
Tue Apr 28 00:01:46 +0000 2020,RT @iloveanimaisof: Eu o tempo inteiro nessa quarentena  https://t.co/SENJ4uDSYb
Tue Apr 28 00:01:46 +0000 2020,+ 1 mes de quarentena e eu vou comecar a fzr merda sem pensar
Tue Apr 28 00:01:46 +0000 2020,"RT @jvbessa: Quando voce ve pessoas com 46  48 anos de idade dizendo que custou uma pandemia para ""descobrir que sabe cozinhar  lavar e pas..."
Tue Apr 28 00:01:46 +0000 2020,RT @GFiuza_Oficial: E Mandetta exonerou a vergonha na cara ao sair abracando seus puxa-sacos sem mascara em ambiente fechado e aglomerado d...
Tue Apr 28 00:01:46 +0000 2020,RT @otakuzinh0: Quarentena dia ???: eu me tornei o Naruto https://t.co/1ZozBA8Dgn
Tue Apr 28 00:01:46 +0000 2020,RT @falsinana: jovens furam quarentena e fazem barulho na porta de hospital https://t.co/xhgaoVcJjZ
Tue Apr 28 00:01:47 +0000 2020,Quando que essa quarentena acaba pra voltar tudo ao normal ? Resenha   futebol   churrasco e mais resenha . 
Tue Apr 28 00:01:47 +0000 2020,ja deve ser a quarta festa que estao fazendo nessa quarentena
Tue Apr 28 00:01:47 +0000 2020,RT @ayrtonline: gente a pugliesi pediu desculpa aparentemente ela so furou a quarentena de forma estrutural [?]
