index,date,text,text_token,words
0,2020-04-28 00:01:39+00:00,"RT @jvbessa: Quando voce ve pessoas com 46  48 anos de idade dizendo que custou uma pandemia para ""descobrir que sabe cozinhar  lavar e pas...","['voce', 've', 'pessoas', '46', '48', 'anos', 'idade', 'dizendo', 'custou', 'pandemia', 'descobrir', 'sabe', 'cozinhar', 'lavar', 'pas', '...']",voce ve pessoas 46 48 anos idade dizendo custou pandemia descobrir sabe cozinhar lavar pas ...
1,2020-04-28 00:01:40+00:00,RT @falsinana: jovens furam quarentena e fazem barulho na porta de hospital https://t.co/xhgaoVcJjZ,"['jovens', 'furam', 'quarentena', 'fazem', 'barulho', 'porta', 'hospital']",jovens furam quarentena fazem barulho porta hospital
2,2020-04-28 00:01:40+00:00,A quarentena esta afetando meu pai  KKKKKKKKKKK,"['quarentena', 'afetando', 'pai', 'kkk']",quarentena afetando pai kkk
3,2020-04-28 00:01:40+00:00,RT @chandy_teixeira: Por que sera  ne  amigao?,"['sera', 'ne', 'amigao']",sera ne amigao
4,2020-04-28 00:01:40+00:00,mano  os patroes da minha mae fizeram ela ir trabalhar hoje e querem que ela va na sexta tambem  MEU  E QUARENTENA ... https://t.co/Nf6Tn4YrfY,"['mano', 'patroes', 'mae', 'fizeram', 'ir', 'trabalhar', 'hoje', 'querem', 'va', 'sexta', 'tambem', 'quarentena', '...']",mano patroes mae fizeram ir trabalhar hoje querem va sexta tambem quarentena ...
5,2020-04-28 00:01:41+00:00,RT @t3ddyyyyy: eu poderia estar fazendo algo mais produtivo nessa quarentena mas deixa pra proxima q tiver,"['poderia', 'estar', 'fazendo', 'algo', 'produtivo', 'nessa', 'quarentena', 'deixa', 'pra', 'proxima', 'q']",poderia estar fazendo algo produtivo nessa quarentena deixa pra proxima q
6,2020-04-28 00:01:41+00:00,RT @JornalOGlobo: Novo secretario-executivo da Saude diz que isolamento nao deu resultado em alguns lugares  sem citar exemplos https://t.c...,"['novo', 'secretario-executivo', 'saude', 'diz', 'isolamento', 'nao', 'deu', 'resultado', 'alguns', 'lugares', 'citar', 'exemplos']",novo secretario-executivo saude diz isolamento nao deu resultado alguns lugares citar exemplos
7,2020-04-28 00:01:41+00:00,RT @Limaa_Taii: E essa quarentena que nao acaba eu quero praia  marquinha  banho de mar,"['quarentena', 'nao', 'acaba', 'quero', 'praia', 'marquinha', 'banho', 'mar']",quarentena nao acaba quero praia marquinha banho mar
8,2020-04-28 00:01:41+00:00,@giucaarvalho @duddah0 @magabnai nossa giullia mkkkkkKKKK e a quarentena... eu tenho a desculpa de ser canceriana voces ja nao [?],"['giullia', 'mkkkkkk', 'quarentena', '...', 'desculpa', 'ser', 'canceriana', 'voces', 'ja', 'nao']",giullia mkkkkkk quarentena ... desculpa ser canceriana voces ja nao
9,2020-04-28 00:01:41+00:00,mano tem pessoas achando que quarentena e ferias pra ficar indo na casa um do outro pra fazer festa GENTE ACORDA SE... https://t.co/794PGbtqxP,"['mano', 'pessoas', 'achando', 'quarentena', 'ferias', 'pra', 'ficar', 'indo', 'casa', 'outro', 'pra', 'fazer', 'festa', 'gente', 'acorda', '...']",mano pessoas achando quarentena ferias pra ficar indo casa outro pra fazer festa gente acorda ...
10,2020-04-28 00:01:41+00:00,RT @alex_cpinheiro: Quarentena ta a destruir o pouco cerebro que tinha!,"['quarentena', 'ta', 'destruir', 'pouco', 'cerebro']",quarentena ta destruir pouco cerebro
11,2020-04-28 00:01:41+00:00,Carentena ta foda amigos https://t.co/gj4mscLj66,"['carentena', 'ta', 'foda', 'amigos']",carentena ta foda amigos
12,2020-04-28 00:01:41+00:00,RT @falsinana: jovens furam quarentena e fazem barulho na porta de hospital,"['jovens', 'furam', 'quarentena', 'fazem', 'barulho', 'porta', 'hospital']",jovens furam quarentena fazem barulho porta hospital
13,2020-04-28 00:01:42+00:00,RT @HitsPerdidos: Agora e Oficial!  Bandcamp (@Bandcamp) anuncia nao so uma como 3 DATAS sem taxas para ajudar os artistas durante a quaren...,"['agora', 'oficial', 'bandcamp', 'anuncia', 'nao', 'so', '3', 'datas', 'taxas', 'ajudar', 'artistas', 'durante', 'quaren', '...']",agora oficial bandcamp anuncia nao so 3 datas taxas ajudar artistas durante quaren ...
14,2020-04-28 00:01:42+00:00,RT @iloveanimaisof: Eu o tempo inteiro nessa quarentena  https://t.co/SENJ4uDSYb,"['tempo', 'inteiro', 'nessa', 'quarentena']",tempo inteiro nessa quarentena
15,2020-04-28 00:01:42+00:00,Eu nao sei voces mas eu to louca p esse quarentena acabar p voltar p minha rotina de faculdade e comecar a trabalha... https://t.co/6d2wZ6Ucqp,"['nao', 'sei', 'voces', 'to', 'louca', 'p', 'quarentena', 'acabar', 'p', 'voltar', 'p', 'rotina', 'faculdade', 'comecar', 'trabalha', '...']",nao sei voces to louca p quarentena acabar p voltar p rotina faculdade comecar trabalha ...
16,2020-04-28 00:01:42+00:00,Faca sua quarentena mais produtiva! https://t.co/xDOc3CDNqP Elite e a melhor opcao!,"['faca', 'quarentena', 'produtiva']",faca quarentena produtiva
17,2020-04-28 00:01:42+00:00,pos quarentena eu quero amigos que gostam de trilha pra ir na funicular de paranapiacaba eu to CHOCADA com a beleza daquele lugar,"['pos', 'quarentena', 'quero', 'amigos', 'gostam', 'trilha', 'pra', 'ir', 'funicular', 'paranapiacaba', 'to', 'chocada', 'beleza', 'daquele', 'lugar']",pos quarentena quero amigos gostam trilha pra ir funicular paranapiacaba to chocada beleza daquele lugar
18,2020-04-28 00:01:42+00:00,afffff que gracinha,"['afff', 'gracinha']",afff gracinha
19,2020-04-28 00:01:42+00:00,quarentena acabe p q eu possa pintar meu cabelo  colocar meu pirci e fzr minhas tattoos em paz ,"['quarentena', 'acabe', 'p', 'q', 'possa', 'pintar', 'cabelo', 'colocar', 'pirci', 'fzr', 'tattoos', 'paz']",quarentena acabe p q possa pintar cabelo colocar pirci fzr tattoos paz
